personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,12:00,1,4,0.25,0,1,0.0,0,0,0.0,2,0,2,0,2,0,0,1,2,-3.0,Bucks
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:02,1,4,0.25,0,1,0.0,3,6,0.5,0,3,3,2,0,0,1,0,5,-3.0,Bucks
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,8:20,4,5,0.8,1,1,1.0,0,0,0.0,2,0,2,0,0,1,0,0,9,-1.0,Bucks
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,-3.0,Bucks
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,8:28,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-3.0,Bucks
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:10,2,2,1.0,2,2,1.0,0,0,0.0,0,3,3,0,0,0,0,1,6,-2.0,Bucks
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,1,0,1,1,0,10,3.0,Nets
203925,Joe,Harris,J. Harris,joe-harris,F,,,12:00,0,2,0.0,0,1,0.0,1,2,0.5,1,3,4,0,0,0,0,0,1,3.0,Nets
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,7:12,2,4,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,0,0,1,5,2.0,Nets
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,12:00,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,1,0,0,2,0,4,3.0,Nets
201935,James,Harden,J. Harden,james-harden,G,,,12:00,2,6,0.333,0,3,0.0,1,1,1.0,1,2,3,3,1,1,0,0,5,3.0,Nets
201145,Jeff,Green,J. Green,jeff-green,,,,4:48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,1.0,Nets
