personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,38:19,4,9,0.444,3,5,0.6,0,0,0.0,4,1,5,0,3,2,0,6,11,-4.0,Bucks
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,50:08,15,24,0.625,2,6,0.333,8,14,0.571,2,11,13,5,0,1,3,3,40,6.0,Bucks
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,46:24,7,11,0.636,3,4,0.75,2,2,1.0,5,3,8,1,1,4,0,1,19,2.0,Bucks
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,52:21,9,26,0.346,2,7,0.286,3,3,1.0,4,6,10,6,5,0,3,2,23,3.0,Bucks
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,48:16,5,23,0.217,2,9,0.222,1,2,0.5,2,5,7,8,0,0,1,5,13,3.0,Bucks
203648,Thanasis,Antetokounmpo,T. Antetokounmpo,thanasis-antetokounmpo,,,,0:51,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2.0,Bucks
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,23:20,3,5,0.6,3,5,0.6,0,0,0.0,1,3,4,0,0,0,0,2,9,10.0,Bucks
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,5:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,Bucks
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,53:00,17,36,0.472,4,11,0.364,10,11,0.909,1,8,9,6,1,1,3,4,48,-4.0,Nets
203925,Joe,Harris,J. Harris,joe-harris,F,,,46:55,3,10,0.3,3,9,0.333,1,2,0.5,2,7,9,2,0,0,1,0,10,-1.0,Nets
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,40:11,7,12,0.583,3,6,0.5,0,0,0.0,2,9,11,3,0,0,2,6,17,-4.0,Nets
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,52:08,7,9,0.778,0,1,0.0,0,2,0.0,4,2,6,2,2,1,3,4,14,-7.0,Nets
201935,James,Harden,J. Harden,james-harden,G,,,52:59,5,17,0.294,2,12,0.167,10,10,1.0,1,8,9,9,1,1,4,3,22,-4.0,Nets
1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,6:53,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2.0,Nets
201145,Jeff,Green,J. Green,jeff-green,,,,12:53,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,0,2.0,Nets
1629651,Nicolas,Claxton,N. Claxton,nicolas-claxton,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Nets
