,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,37:38,8,15,0.533,3,9,0.333,8,8,1.0,2,5,7,1,1,0,1,1,27,7.0
1,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,37:07,4,8,0.5,3,5,0.6,0,0,0.0,0,10,10,3,1,0,0,4,11,10.0
2,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,42:15,4,10,0.4,0,0,0.0,2,3,0.667,4,7,11,4,3,2,0,4,10,10.0
3,1626164,Devin,Booker,D. Booker,devin-booker,G,,,44:05,12,25,0.48,7,12,0.583,0,0,0.0,2,3,5,6,0,0,3,4,31,10.0
4,101108,Chris,Paul,C. Paul,chris-paul,G,,,41:27,10,20,0.5,3,5,0.6,0,1,0.0,2,2,4,8,1,0,6,3,23,9.0
5,1626166,Cameron,Payne,C. Payne,cameron-payne,,,,9:48,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,2,1,0,1,0,2,1.0
6,1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,18:19,2,4,0.5,2,4,0.5,2,2,1.0,1,2,3,2,0,0,0,2,8,2.0
7,1628470,Torrey,Craig,T. Craig,torrey-craig,,,,7:40,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,1,1,6,1.0
8,1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,0:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0
9,1627846,Abdel,Nader,A. Nader,abdel-nader,,,,0:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
