personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,8:39,3,4,0.75,1,1,1.0,0,0,0.0,2,1,3,0,0,0,0,0,7,6.0,Bucks,1
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,8:29,3,4,0.75,0,0,0.0,1,2,0.5,1,3,4,1,1,1,0,0,7,2.0,Bucks,1
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,8:39,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,6.0,Bucks,1
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,0,4,3.0,Bucks,1
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,8:39,3,9,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,6,6.0,Bucks,1
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,6:52,1,2,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,0,3,-2.0,Bucks,1
201952,Jeff,Teague,J. Teague,jeff-teague,,,,3:21,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3.0,Bucks,1
1626171,Bobby,Portis,B. Portis,bobby-portis,,,,3:21,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,2,-3.0,Bucks,1
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,8:39,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,1,0,6,-6.0,Suns,1
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,11:08,2,3,0.667,2,3,0.667,0,0,0.0,0,3,3,2,0,0,0,1,6,-5.0,Suns,1
